Data for absorption spectrum
Date: 21-Nov-2011
Data taken by Saitor and Chang
frequency (THz) counts uncertainty
 0.40 		    55 		 5.0 
 0.93 		    57 		 4.2 
 1.45 		    49 		 4.1 
 1.98 		    49 		 3.5 
 2.50 		    44 		 3.5 
 3.02 		    50 		 4.3 
 3.55 		    54 		 2.0 
 4.08 		    46 		 3.9 
 4.60 		    50 		 3.9 
 5.13 		    45 		 5.2 
 5.65 		    49 		 4.1 
 6.18 		    38 		 4.2 
 6.70 		    47 		 4.6 
 7.23 		    47 		 3.8 
 7.75 		    62 		 5.5 
 8.28 		    64 		 3.8 
 8.80 		    74 		 5.6 
 9.33 		    88 		 4.1 
 9.85 		    96 		 2.7 
10.38 		   102 		 3.5 
10.90 		   109 		 5.4 
11.43 		   106 		 3.9 
11.95 		    95 		 5.4 
12.48 		    93 		 3.5 
13.00 		    66 		 4.2 
13.53 		    62 		 5.2 
14.05 		    52 		 4.7 
14.58 		    46 		 3.9 
15.10 		    28 		 4.5 
15.63 		    26 		 4.4 
16.15 		    23 		 4.9 
16.68 		    29 		 4.2 
17.20 		    21 		 3.6 
17.72 		    24 		 3.0 
18.25 		    20 		 5.7 
18.77 		    25 		 5.3 
19.30 		    19 		 3.5 
19.82 		    17 		 5.5 
20.35 		    10 		 5.0 
20.88 		    12 		 3.7 
21.40 		    11 		 5.0 
21.93 		     7 		 5.0 
22.45 		    11 		 4.5 
22.97 		    16 		 4.5 
23.50 		    11 		 3.6 
